time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,Timestamp,Active Attention or Focus,Attention or Focus,Active Engagement,Engagement,Active Excitement,Excitement,Active Interest,Interest,Active Relaxation,Relaxation,Active Stress,Stress,Timestamp,Pleasure,Arousal,Dominance,time,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2024/07/25 02:36:22,true,1.0,true,1.0,true,1.0,true,1.0,true,1.0,true,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024/07/25 02:36:22,0.89,-0.27,0.37,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
2024/07/25 02:36:22,4,100,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:22,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2024/07/25 02:36:23,true,1.0,true,1.0,true,1.0,true,1.0,true,1.0,true,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024/07/25 02:36:23,0.89,-0.27,0.37,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
2024/07/25 02:36:23,4,100,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2024/07/25 02:36:23,true,1.0,true,1.0,true,1.0,true,1.0,true,1.0,true,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024/07/25 02:36:23,0.89,-0.27,0.37,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
2024/07/25 02:36:23,4,100,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:23,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2024/07/25 02:36:24,true,1.0,true,1.0,true,1.0,true,1.0,true,1.0,true,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024/07/25 02:36:24,0.89,-0.27,0.37,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
2024/07/25 02:36:24,4,100,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2024/07/25 02:36:24,true,1.0,true,1.0,true,1.0,true,1.0,true,1.0,true,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2024/07/25 02:36:24,0.89,-0.27,0.37,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
2024/07/25 02:36:24,4,100,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024/07/25 02:36:24,neutral,frown,0.95,clench,0.8,,,,,,,,,,,,,,,,,,,,,,
